time,time_sin,time_cos,Occupancy,door_gap,window_gap,humidity,VOC_ppb,temperature_Main,temperature_FRT,temperature_FRM,temperature_FRB,temperature_FMT,temperature_FMM,temperature_FMB,temperature_FLT,temperature_FLM,temperature_FLB,temperature_BRT,temperature_BRM,temperature_BRB,temperature_BMT,temperature_BMM,temperature_BMB,temperature_BLT,temperature_BLM,temperature_BLB,temperature_WRB,temperature_WMB,temperature_WLB,temperature_WLF,temperature_DoorRT,temperature_BTable,temperature_PRUR,temperature_PRUL,temperature_PRDR,temperature_PRDL,temperature_PLDR,temperature_PLDL,temperature_Out,light_BLM,light_BLB,light_WRB,light_WMB,light_WLB,light_WLF,light_DoorRT,light_BTable,light_PRUR,light_PRUL,light_PRDR,light_PRDL,light_PLDR,light_PLDL,light_Out,outdoor_temperature,outdoor_humidity,outdoor_windgust,outdoor_windspeed,outdoor_winddir,outdoor_sealevelpressure,outdoor_dew,outdoor_cloudcover,outdoor_solarradiation,outdoor_solarenergy
2023/7/3 23:08,-0.224951054,0.974370065,0,0,0.866666667,42,116,22.08,24.17789273,21.46377155,23.97539896,22.73726235,23.10520257,21.54969617,21.09953132,21.02952398,21.9966265,23.75412331,20.66432278,20.42682937,19.00091143,21.45930253,21.83593763,18.496094,10.41105769,20.39521649,19.62931737,19.53424483,19.68924753,20.6259765,23.01763089,21.72311058,21.92852622,22.45591504,20.70134159,22.69053819,21.58003044,22.75469789,21.85212045,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
2023/7/3 23:09,-0.220697435,0.975342321,0,0,0.9,42,116,22.08,24.12784085,21.46484381,23.9819972,22.70987218,23.16143009,21.55598957,21.08623796,21.02954547,22.01321474,23.80621188,20.63699119,20.38604906,19.0562501,21.48180261,21.84637795,18.49812512,10.99989985,20.37650927,19.56132805,19.51893023,19.71210943,20.61800987,22.9898438,21.72726364,21.99564726,22.46657993,20.76055517,22.68790062,21.55859385,22.75097194,21.86296235,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
2023/7/3 23:10,-0.216439614,0.976296007,0,0,1.3,42,116,22.08,24.12207025,21.47414426,23.94123626,22.57722338,23.15104174,21.53396748,21.12828953,21.00807722,21.99129227,23.81078502,20.59638943,20.40625005,19.07378473,21.48163228,21.87940708,18.5,11,20.36769391,19.65163355,19.51572015,19.69607183,20.595982,22.99062496,21.72846289,21.96188759,22.48946714,20.67930948,22.68400489,21.50866172,22.72787711,21.86511959,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
2023/7/3 23:11,-0.212177672,0.977231106,0,0,2.2,42,106,22.09,24.07192886,21.49493966,23.92570143,22.68828128,23.1330917,21.55562504,21.16657357,21.0154514,21.94475424,23.73761638,20.62072525,20.39873795,19.10228208,21.4453123,21.86623276,18.5,6.83015624,20.35265272,19.64487096,19.50416663,19.68066398,20.59931625,22.94726559,21.72482644,21.93531712,22.47457373,20.59168833,22.72187483,21.52955172,22.72015701,21.8228463,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
2023/7/3 23:12,-0.207911691,0.978147601,0,0,0.88,42,106,22.09,24.14107137,21.48755433,23.9432633,22.7101562,23.14891712,21.6578126,21.16654818,20.99427698,21.92912945,23.79926665,20.64032444,20.36972122,19.08924941,21.44547855,21.86862243,18.5,11.42589618,20.33275798,19.55612653,19.48246949,19.70205075,20.60322265,22.93939723,21.69697487,21.93712203,22.46463058,20.66163427,22.71748319,21.58580723,22.71300765,21.87008574,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
2023/7/3 23:13,-0.203641751,0.979045472,0,0,1.1,42,106,22.09,24.194839,21.47317705,23.92773456,22.655816,23.17408617,21.59651688,21.16634108,21.01362427,21.96534456,23.8344131,20.61381092,20.42760424,19.08632808,21.45361323,21.84128284,18.5,7.855942242,20.30178053,19.55468752,19.47375491,19.68528284,20.62670251,22.97498332,21.73206682,21.88767151,22.43743366,20.69553566,22.68432616,21.62409144,22.65945311,21.88823789,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
2023/7/3 23:14,-0.199367934,0.979924705,0,0,0.866666667,42,106,22.09,24.1351562,21.49549287,23.91189242,22.61371533,23.17470894,21.60312508,21.15583146,20.98802643,21.93487333,23.81209296,20.64970708,20.35079826,19.07902015,21.42902051,21.80998256,18.5,11.00686232,20.31211893,19.59343752,19.49978876,19.6397461,20.58761169,23.02060357,21.75651048,21.90262963,22.44637166,20.67876239,22.67927639,21.60844476,22.69176582,21.88686885,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
2023/7/3 23:15,-0.195090322,0.98078528,0,0,1.366666667,42,106,22.09,24.15039053,21.49339478,23.92777128,22.69318177,23.16979173,21.61904767,21.12500013,21.00181007,21.90406258,23.77909129,20.65516504,20.32002326,19.08450856,21.40009998,21.77250757,18.5,10.22674007,20.34192698,19.62664479,19.50921477,19.69414064,20.56877034,23.00673838,21.71693988,21.83627223,22.45458984,20.66316963,22.64465739,21.65100983,22.66211837,21.87745534,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
2023/7/3 23:16,-0.190808995,0.981627183,0,0,0.866666667,42,91,22.09,24.18118106,21.45102895,23.93224435,22.70072108,23.15675961,21.56300943,21.124814,21.00968067,21.93633647,23.79175964,20.61132818,20.36798882,19.10351562,21.39298691,21.75455728,18.5,11.62823663,20.34908544,19.6501735,19.52121798,19.66805181,20.54972538,23.01215264,21.71517623,21.81869288,22.45173602,20.71893598,22.63005506,21.6277901,22.69522682,21.89200376,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
2023/7/3 23:17,-0.186524036,0.982450398,0,0,1.2,42,91,22.09,24.13464366,21.44273775,23.94904513,22.6171876,23.16939596,21.53574235,21.070518,20.99647684,21.97324218,23.76360884,20.60314614,20.39370897,19.0701119,21.38271231,21.72286189,18.502232,9.760653455,20.32801656,19.6069569,19.5607329,19.66550167,20.53362759,23.04741761,21.75911443,21.81925662,22.46028675,20.66386226,22.62641053,21.53589527,22.75985486,21.86608869,255,0,0,0,0,255,255,255,0,0,0,0,0,255,0,14.6,68.23,18.7,17.7,250,1011.9,8.8,57.1,0,0
